长江航运总医院             	武汉市        	发热门诊
枣阳市第一中心医院           	襄阳市        	定点医院
宜昌市中医院           	宜昌市        	发热门诊
宜昌市第一中医院           	宜昌市        	发热门诊
孝感市中心医院             	孝感市        	定点医院
襄州区中心医院             	襄阳市        	定点医院
襄阳市中医医院             	襄阳市        	定点医院
襄阳市中心医院             	襄阳市        	定点医院
襄阳市第一中心医院           	襄阳市        	定点医院
咸宁市第一中心医院           	咸宁市        	定点医院
仙桃市第一中心医院           	仙桃市        	定点医院
武汉亚心总医院             	武汉市        	发热门诊
武汉市中心医院             	武汉市        	发热门诊
武汉市中南医院             	武汉市        	发热门诊
武汉市武汉钢铁（集团）公司第二职工医院 	武汉市
武汉市商业职工医院           	武汉市
武汉市湖北省肿瘤医院          	武汉市
武汉市汉口医院             	武汉市        	定点医院
武汉市儿童医院             	武汉市        	发热门诊
武汉市第五医院             	武汉市        	定点医院
武汉市第四医院西院区          	武汉市        	定点医院
武汉市第三医院             	武汉市        	发热门诊
武汉科技大学附属天佑医院        	武汉市        	发热门诊
武汉大学中心医院            	武汉市        	发热门诊
天门市第一中心医院           	天门市        	定点医院
随州市中心医院             	随州市        	定点医院
十堰市中西医结合医院          	武汉市        	发热门诊
十堰市太和医院             	十堰市        	发热门诊
十堰市中心医院             	十堰市        	发热门诊
潜江市江汉石油管理局中心医院      	潜江市
老河口市第一医院            	襄阳市        	定点医院
荆州市中心医院             	荆州市        	定点医院
荆州市第一中心医院           	荆州市        	定点医院
荆州市第三中心医院           	荆州市        	发热门诊
荆州市第二中心医院           	荆州市        	定点医院
荆门市第一中心医院（北院区）      	荆门市        	定点医院
荆门市第二中心医院           	荆门市        	定点医院
江夏区第一中心医院           	武汉市        	定点医院
监利县中心医院             	荆州市        	定点医院
黄石市中心医院             	黄石市        	定点医院
华中科技大学同济医学院附属协和医院   	武汉市        	发热门诊
华中科技大学同济医学院附属同济医院   	武汉市        	发热门诊
华润武钢总医院             	武汉市        	发热门诊
湖北省中医院              	武汉市        	发热门诊
湖北省第三中心医院           	武汉市        	发热门诊
国药葛洲坝中心医院           	宜昌市        	发热门诊
国药东风总医院             	十堰市        	发热门诊
恩施州中心医院             	恩施土家族苗族自治州 	定点医院
鄂州市中心医院             	鄂州市        	发热门诊
